Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A20	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A25	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A41	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
A43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A47	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A54	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0
A55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A56	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A61	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
A62	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A66	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A69	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A72	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A78	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A79	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A81	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A82	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A90	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A92	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A98	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A99	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A102	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A112	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A113	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A121	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A122	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A125	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A126	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A127	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A131	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A132	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A142	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A154	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A155	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A157	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A162	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A166	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A168	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A170	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A175	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A176	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A181	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A191	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A196	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A202	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
A203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A205	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A211	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A216	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A217	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A224	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A226	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A227	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A228	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A229	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A233	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A237	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A238	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A244	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A251	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A264	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A266	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A275	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A276	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A277	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A281	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A282	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A283	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A284	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A288	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A289	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A290	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A291	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A293	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A294	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A295	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A296	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A297	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A298	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A300	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A303	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A306	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A307	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A308	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A309	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A310	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A311	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
