Argument ID	Conclusion	Stance	Premise
A05036	We should end mandatory retirement	in favor of	the loss of experience and knowledge from mandatory retirement is costly to businesses
A05039	We should subsidize student loans	in favor of	student loans set children up to be valuable citizens and the state should support this
A05040	We should legalize sex selection	against	we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population
A05041	We should oppose collectivism	in favor of	collectivism prevents original thoughts and discourages people from looking for their own ideas
A05042	We should ban missionary work	in favor of	missionary work plays on the ignorance of local people to exploit them
A05044	We should limit judicial activism	in favor of	activists judges aren't the ones shaping the laws. they're not "all" the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments
A05045	We should subsidize Wikipedia	against	subsidizing wikipedia can cause it to provide biased information
A05047	We should oppose collectivism	in favor of	treating everyone as a large group unit is not helpful for people who have different individual needs.
A05048	We should ban fast food	against	fast food is sometimes the only way poor people can feed their families cheaply. if you ban it then you are taking away someone's only meal.
A05049	We should prohibit school prayer	in favor of	prayer in schools violates a person's right to follow whatever religion they choose.
A05050	We should introduce compulsory voting	against	compulsory voting goes against people's liberties and freedoms.
A05052	We should end the use of economic sanctions	against	economic sanctions can assist in deterring deadly threats against our nation
A05053	We should introduce compulsory voting	in favor of	compulsory voting makes for more informed voters
A05054	We should adopt libertarianism	against	there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows, if everyone pleased themselves no one would help each other.
A05057	We should subsidize Wikipedia	against	subsidizing wikipedia could be a back gateway to some form of governmental control, debasing the validity of the articles and information provided.
A05058	We should cancel pride parades	against	pride parades encourage people to claim the rights and freedoms they are entitled to
A05059	We should cancel pride parades	against	pride parades can show everyone that we tolerate everyone
A05063	We should ban factory farming	in favor of	it should be banned so that it doesn't take away our farms and will cause more global warming
A05064	We should abolish zoos	against	zoos do a lot of conservation work and have successfully bred animals which were on the verge of extinction.
A05067	We should ban cosmetic surgery for minors	in favor of	cosmetic surgery for minors should be banned because they are not finished growing no do they have a mature enough background to make a sound decision towards this procedure.
A05068	We should ban targeted killing	against	targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people.
A05069	We should adopt a multi-party system	against	the two-party system is cheaper and easier to operate that any multi-party system
A05070	We should adopt atheism	in favor of	we should adopt atheism because it would be easier than being religious and having so many different beliefs
A05071	We should ban human cloning	in favor of	human cloning should be banned because it allows designer humans to be grown according to the parents wishes.
A05073	We should ban whaling	in favor of	whaling is inhumane and unnecessary and killing the whale population.
A05074	We should adopt an austerity regime	in favor of	an austerity regime will help to reduce the deficit of the country
A05075	We should adopt an austerity regime	against	people should not have to endure higher taxes to pay for the government's inefficiency.
A05076	We should subsidize space exploration	in favor of	there is so much more to explore and learn about space that subsidising space exploration would bring us closer to learning and understanding what is beyond our planet.
A05077	We should subsidize journalism	against	We should not subsidize journalism because there is already sufficient coverage of major issues from different viewpoints without government action.
A05080	We should ban telemarketing	against	We should not ban telemarketing as it it allows people to learn about new products or services from the comfort of their own homes.
A05081	We should abolish capital punishment	against	We should not abolish capital punishment because if the criminal done with their time in jail they may commit far more serious crime again because some criminal cannot be rehabilitated
A05082	We should ban algorithmic trading	in favor of	algorithmic trading should be banned because it gives some people an unfair advantage.
A05083	We should legalize prostitution	in favor of	legalising prostitution will ensure the safety of both the sex trade worker and client
A05086	We should ban telemarketing	in favor of	telemarketing is intrusive, annoying and violates privacy
A05087	We should end mandatory retirement	in favor of	We should end mandatory retirement because it removes people who are knowledgeable and skilled from jobs that they are good at.
A05088	We should abandon the use of school uniform	in favor of	if you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and coloring, which allows you to look your best
A05089	We should ban missionary work	against	missionary work is beneficial for those receiving aid.
A05090	We should abandon the use of school uniform	in favor of	forcing children into wearing school uniforms shows our children that they cannot think as individuals and must conform to societies way of thinking.
A05091	We should fight for the abolition of nuclear weapons	against	Nuclear weapons can bring about a certain level of respect
A05092	We should ban the Church of Scientology	in favor of	scientology is actually a wealthy cult and members are abused physically and financially.
A05093	We should ban the use of child actors	in favor of	child actors lose the sense of a proper childhood.
A05095	We should abolish the three-strikes laws	against	we need the three strikes as a deterrent
A05096	We should prohibit school prayer	against	a non-denominational school prayer is about as bad as reciting the pledge of allegiance in school, and should be allowed.
A05097	We should adopt a zero-tolerance policy in schools	in favor of	children need to learn boundaries and consequences for their actions. they learn faster if there is immediate repercussions than if you let them do it over and over again.
A05098	We should limit executive compensation	against	We should not limit executive compensation as they should get the salary equal to their contribution to the organisation.
A05099	We should abolish the right to keep and bear arms	in favor of	it will decrease the number of crimes and violence on the streets
A06002	We should end the use of economic sanctions	against	economic sanctions are often a proportional punishment
A06003	We should stop the development of autonomous cars	in favor of	autonomous cars are prohibitively expensive
A06004	We should abandon the use of school uniform	in favor of	school uniforms cost a lot and might not be affordable for everyone
A06005	We should end mandatory retirement	against	Mandatory retirement lets companies more easily make space for new workers that have more of an incentive to work hard at a new job.
A06008	We should adopt a zero-tolerance policy in schools	in favor of	a zero tolerance policy at school is a good idea because children need to be disciplined as it might cut crime in the future.
A06010	We should abolish safe spaces	in favor of	Safe spaces stifle dialogue about controversial topics, such as race, gender and religion.
A06011	We should end the use of economic sanctions	in favor of	economic sanctions are unethical to the economies of smaller, underdeveloped countries.
A06015	We should ban the use of child actors	in favor of	we should ban the use of child actors since it puts so much pressure on them. they should be growing up with a stable life and just enjoy being a kid.
A06017	We should subsidize student loans	in favor of	we should subsidize student loans as these are our future leaders and workers and we want to ensure their success in order to secure the countries success.
A06019	We should legalize prostitution	in favor of	prostitution should be legal as it can be controlled & monitored easier & be less dangerous
A06020	We should cancel pride parades	against	pride marches are a crucial part of gay visibility and the fight for equality. ensuring that the fight against injustice continues, especially in countries where homosexuality is still a criminal offense.
A07001	We should cancel pride parades	against	pride parades allow people to make connections and widen their social circles.
A07006	We should ban missionary work	in favor of	people should keep their religion to themselves
A07007	We should adopt atheism	in favor of	not everybody believes in or practices a religion so we should adopt atheism for them
A07008	We should end the use of economic sanctions	in favor of	economic sanctions are used to bully other nations to act in your own interest, by harming the innocent citizens no less
A07009	We should ban private military companies	in favor of	only governments can be trusted with armies so we should ban private military companies.
A07010	We should legalize prostitution	against	it sets a bad example for younger generation and takes them away from the ethics of the society
A07011	We should subsidize space exploration	against	there are much more important things to spend money on; space exploration is a low priority and should not be subsidized
A07012	We should subsidize journalism	in favor of	journalism is more important than ever in an era of fake news and social media.
A07014	We should abolish the Olympic Games	in favor of	we should abolish the olympic games because bring together different nations with radically different governments is dangerous.
A07016	We should ban factory farming	in favor of	factory farming treats animals inhumanely, which is wrong and immoral.
A07018	We should prohibit school prayer	in favor of	we need to prohibit school prayer, as not all people agree with it and it should not be forced on anyone
A07019	We should end mandatory retirement	against	Setting a mandatory retirement age allows for the younger generations to move up the ladder and to better support their own families.
A07020	We should abolish the Olympic Games	in favor of	the olympic games encourage animosity between countries
A07021	We should adopt an austerity regime	against	austerity only leads to economic contraction that endangers the chance of reducing the debt.
A07022	We should adopt gender-neutral language	in favor of	there are far more than two genders today, and thus, gender-neutral language only makes sense.
A07023	We should abolish safe spaces	in favor of	safe places are not needed. people need to adjust to the world in which they live in and stop trying to always seek protection from the things they don't like.
A07025	We should abolish capital punishment	in favor of	there are too many historical cases where innocent people have been put to death.
A07026	We should adopt a multi-party system	in favor of	multi-party systems offer voters more choices and more representation.
A07031	We should abolish intellectual property rights	against	we cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so that they can earn a living in their fields
A07032	We should legalize prostitution	in favor of	with so much sexual freedom these days prostitution should now be legal.
A07033	We should stop the development of autonomous cars	in favor of	they can cause accidents if the equipment fails.
A07034	We should legalize cannabis	against	cannabis especially the skunk variety can be very harmful to people and can lead on to them using harder drugs so therefore it should be illegal.
A07036	We should limit judicial activism	in favor of	judicial activism relies too heavily upon personal opinion and leads to bias.
A07037	We should ban fast food	against	we all have the right to eat what we want, to prohibit a specific type of food is an abuse of power
A07038	We should abandon the use of school uniform	in favor of	Allowing students to make their own choices regarding the clothes they wear prepares them for the adult world.
A07039	We should ban missionary work	in favor of	missionaries are intrusive to other countries and very invasive to the culture.
A07043	We should ban cosmetic surgery	in favor of	cosmetic surgery exists for vanity purposes doctors who offer the service should focus on treating people with real illnesses
A07044	We should ban the Church of Scientology	in favor of	the church of scientology is a cult that is harming society.
A07045	We should subsidize Wikipedia	against	there is no need to subsidize a site that isn't necessary
A07046	We should adopt libertarianism	against	We should not adopt libertarianism because we need the government to provide essential services that are unprofitable.
A07047	We should subsidize student loans	against	a person's education should be the responsibility of themselves
A07049	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is protected by our government and should be like that so people can defend their self.
A07050	We should legalize cannabis	in favor of	cannabis should be legalized because it is no worse than alchohol.
A07051	We should cancel pride parades	against	we should continue to support pride parades because everyone has the right to do what they want as long as it does not harm others.
A07053	We should ban algorithmic trading	against	we should continue to support algorithmic trading as it gives orders a jump start rather than waiting until the complete order has been produced.
A07054	We should end the use of economic sanctions	in favor of	if we end economic sanctions, then it would lead to a more fair trade market.
A07055	We should abandon the use of school uniform	against	school uniforms are a good way to keep our kids from looking too sexualized from what they wear
A07057	We should legalize sex selection	against	gender selection is essentially playing god.
A07058	We should ban the Church of Scientology	in favor of	the church of scientology is a predatory, litigation-happy organization that serves no good purpose in the world.
A07059	We should abolish zoos	in favor of	animals in zoos have been repeatedly found to be malnourished and mistreated.
A07060	We should legalize organ trade	in favor of	Organ sales increase the likelihood that people with rare blood types or conditions can find an organ.
A07061	We should abolish the right to keep and bear arms	against	the right to bear arms is a fundamental right since the creation of  this country, and should be protected.
A07062	We should stop the development of autonomous cars	against	the number of fatalities that can be prevented with autonomous cars makes the development a moral imperative.
A07063	We should adopt a multi-party system	against	adopting a multi-party system leads to the formation weak and unstable coalition governments
A07066	We should ban the use of child actors	against	not all tv and movies is going to be adults only we need child actors to shows the world as it is
A07067	We should limit judicial activism	against	judicial activism allows for common sense to be applied where necessary
A07068	We should limit executive compensation	against	executives provide profits to shareholders and should be compensated accordingly
A07069	We should subsidize embryonic stem cell research	against	it is against certain religious beliefs and can be seen as immoral
A07072	We should legalize sex selection	in favor of	sex selection is the perfect solution to a family that has a history of all one gender.  many families want the perfect one and one so it's perfect for those as well.  it's a win no matter how you look.
A07073	We should ban the use of child actors	against	we should not ban the use of child actors because we would not have the shows and movies that are otherwise available.
A07074	We should subsidize journalism	in favor of	Non-trustworthy news sources and fake news stories abound. We must subsidize investigative journalism in order to ensure we have reliable news sources that report real facts.
A07075	We should ban cosmetic surgery for minors	against	We should not ban cosmetic surgery for minors because there are legitimate cases when it would improve a young person's mental health.
A07076	We should adopt a zero-tolerance policy in schools	in favor of	bullies should not be given second chances. being victim to school bullying is a major risk factor for developing mental health problems like depression, anxiety, and even suicidal thoughts.
A07077	We should adopt an austerity regime	in favor of	an austerity regime would eliminate the national debt by directing money to where it really needs to go.
A07079	We should ban algorithmic trading	in favor of	algorithmic trading gives people an unfair speed advantage over the rest of the field.
A07080	We should abolish the three-strikes laws	against	if someone hasn't learned by the first two chances then they aren't going to stop committing crimes. it makes more sense to lock them away than to let them keep committing crimes against the population.
A07082	We should adopt libertarianism	against	we should not adopt libertarianism because it will allow people to take advantage of the freedoms and eventually infringe on other people's freedoms.
A07084	We should fight for the abolition of nuclear weapons	in favor of	the abolition of nuclear weapons is a hugely important goal on the path to world peace.
A07087	We should introduce compulsory voting	against	every individual should be able to choose whether or not they want to vote
A07089	We should ban telemarketing	against	banning telemarketing has no approval anywhere as customers will not be able to see new products available to buy.
A07091	We should ban targeted killing	against	targetted killing could potentially help reduce the number of crimes if terrorists are killed before they can cause more harm
A07092	We should prohibit school prayer	in favor of	we have seperation of church and state for a reason.  schools are a government entity that is not suppose to be involved with, or support, any particular religion and the two need to stay seperate.
A07093	We should ban human cloning	against	though it may sound awful, human cloning can provide perfect matches for organ transplants and prolong the lives of people.
A07094	We should abolish intellectual property rights	in favor of	we should abolish intellectual property rights to break to the barriers if innovation, barring people from building on and improving ideas is counter productive
A07095	We should oppose collectivism	against	supporting collectivism is important because groups value is most important in the society which we live today.
A07096	We should ban telemarketing	in favor of	yes ban it, if i wanted to buy something i would know where to look for it without being bothered with constant calls
A07097	We should ban whaling	against	whaling is an important part of the diet, tradition and economies of many countries, and it is not our place to dictate terms as outsiders to their culture.
A07098	We should subsidize Wikipedia	in favor of	wikipedia is valuable knowledge resource that should not be allowed to go under due to lack of resources and so should be subsidized
A08001	We should adopt a zero-tolerance policy in schools	in favor of	a zero tolerance policy will scare the children into behaving and following the rules.
A08003	We should ban the Church of Scientology	against	people have to right to their own religious beliefs, no matter how odd others find it
A08005	We should adopt libertarianism	in favor of	our country need to adopt the less intervention supported by libertarianism. people need to make their own choice and be responsible for the outcome.
A08006	We should limit judicial activism	in favor of	a judge shouldnt be able to show their personal views.
A08007	We should adopt libertarianism	in favor of	libertarianism is the true path to real freedom and autonomy for all
A08009	We should abolish the right to keep and bear arms	against	the right to carry firearms is a legal deterrent for politicians with tyrannical or dictatorial tendencies
A08011	We should abolish safe spaces	in favor of	safe spaces are for people who don't like to talk about the issues in a civilized manner
A08012	We should ban human cloning	in favor of	humans don't have the right to play god with genetics
A08013	We should abolish the right to keep and bear arms	in favor of	Firearms are typically far more dangerous to the owner and his/her family than any intruder, due to misuse, murder, and suicide.
A08014	We should end mandatory retirement	against	Without a mandatory retirement age available to the employer, dismissal procedures would be likely to begin earlier
A08016	We should legalize cannabis	against	we should not legalize cannabis then more children will get a hold of it
A08018	We should abolish the right to keep and bear arms	in favor of	the right to keep and bear arms should be abolished because too many people die from gun violence in america.
A08019	We should abandon the use of school uniform	in favor of	the school uniform is outdated and takes away individual personalities.
A08020	We should abolish the three-strikes laws	in favor of	three strike laws perpetuate the for profit prison industrial complex and don't actually address the underlying issues driving people to commit crimes
A09001	We should ban fast food	in favor of	is leading to increased obesity and many health problems.
A09002	We should legalize cannabis	in favor of	as a non-addictive natural substance that is less harmful than currently legal ones such as tobacco and alcohol, it seems that cannabis is still illegal simply due to old prejudices.
A09003	We should ban the use of child actors	against	we must not prohibit the use of child actors because it goes against the right to work. children under the supervision of their parents can develop their artistic talent without affecting their personal growth
A09004	We should ban fast food	against	fast food is great when you need a quick meal on the run and it is more nutritious than snacking on chocolate bars or unhealthy snacks.
A09005	We should ban the Church of Scientology	against	people should be allowed to join any club, cult, religious group they want.  the government should not have a say in what an individual wants to participate in.
A09006	We should abolish the right to keep and bear arms	against	we shouldn't abolish the right to keep and bear arms because it can help stop mass shootings if everyone has a gun
A09007	We should adopt gender-neutral language	against	language changes cannot be legislated, they evolve spontaneously over time. if people want to use gender-neutral language, it will slowly become part of their vocabulary
A09008	We should ban algorithmic trading	against	if people want to use it then it is their choice
A09009	We should legalize organ trade	against	we should not legalize organ trade because then people would be selling their organs just for money
A09010	We should limit judicial activism	in favor of	judges should follow the letter of the law when making rulings and not make up things based on how they feel.
A09011	We should abolish the three-strikes laws	in favor of	Three strikes laws often punish those who have been pushed into crime by their socioeconomic background, which is unjust.
A09012	We should fight for the abolition of nuclear weapons	against	we need to keep our country safe and protected
A09013	We should stop the development of autonomous cars	against	autonomous cars offer the opportunity for people  to spend more time on the things they enjoy doing during their commute rather than having to concentrate.
A09014	We should ban missionary work	in favor of	historically missionaries have interfered in an unhealthy way with other cultures and continue to do so.
A09015	We should adopt libertarianism	against	libertarianism doesn't account for obvious public needs that are better served through collective action rather than each individual competing for resources.
A09017	We should ban the Church of Scientology	in favor of	the church of scientology encourages the isolation of it's members. this may lead to some members essentially being help against their will.
A09018	We should adopt atheism	against	we should not adopt atheism because organized religion instills good morals into people.
A09021	We should subsidize Wikipedia	in favor of	providing subsidies would allow more money to be spent on the editing process thus making wikepedia a more reliable source of information
A09022	We should abolish safe spaces	in favor of	safe spaces only shield people from the realities of the world and thus leave them unprepared.
A09023	We should ban the use of child actors	in favor of	the world of acting is a high pressure, extremely stressful place and children should be protected from it.
A09024	We should ban whaling	against	if people can get food and other products from whaling that helps sustain them, then it shouldn't be banned.
A09025	We should subsidize student loans	in favor of	it's the only way most people can afford college
A09026	We should abolish intellectual property rights	against	intellectual property rights enable people to benefit from what they worked so hard to achieve.
A09027	We should adopt an austerity regime	against	we should not adopt an austerity regime because people would end up with less money to pay the same amount of bills with.
A09028	We should adopt gender-neutral language	in favor of	many people do not feel comfortable with their gender and feel offended when we use inappropriate words
A09029	We should ban private military companies	in favor of	private military companies should be banned because it is immoral to make money off of war
A09030	We should abolish safe spaces	in favor of	people need to grow up and realise the world is a hard place
A09031	We should legalize prostitution	in favor of	Legalizing prostitution would make the profession less dangerous and less hazardous to one's health.
A09033	We should oppose collectivism	in favor of	collectivism is a facet of socialism, communism, etc. and eliminates individual worth
A09035	We should abolish the Olympic Games	against	The Olympic games provides jobs and is a boost for the economy in the host country.
A09036	We should ban factory farming	against	factory farming helps to produce meat at a lower cost thus enabling those on a lower income to be able to purchase meats.
A09037	We should prohibit school prayer	against	in today's hectic fast-paced society, it is freeing to take time to sit quietly and pray. it should be encouraged in our schools.
A09038	We should introduce compulsory voting	in favor of	we should introduce compulsory voting as all citizens need to have their voices heard to make the outcomes of elections more credible and truly representative of the whole population.
A09039	We should ban missionary work	against	we should not ban missionary work because people have a right to help out others if they chose to do so
A09040	We should ban cosmetic surgery for minors	in favor of	Children are not able to consent or conceptualize permanent changes which result from cosmetic surgery.
A09042	We should adopt a zero-tolerance policy in schools	against	the zero-tolerance policy is not a good thing at all , kids getting punished for their actions and humiliated in front of a audience is really not the great thing to do.
A09043	We should end the use of economic sanctions	in favor of	economic sanctions hurt the poorest people of a nation
A09045	We should end the use of economic sanctions	against	economic sanctions can be very effective in bringing about social change
A09046	We should end mandatory retirement	in favor of	mandatory retirement should be ended as it is unfair on older people.
A09048	We should adopt a multi-party system	in favor of	In multi-party systems, there are many types of ideologies - as opposed to two-party systems, where the nation is not divided into two rival groups.
A09051	We should abolish capital punishment	in favor of	recent dna evidence have proved that some death penalty inmates to be innocent. executing one innocent person is an enough proof that the capital punishment should be abolished.
A09053	We should stop the development of autonomous cars	against	autonomous cars can make trips more relaxing and help the traveler arrive refreshed and happy.  it can also eliminate road rage.
A09058	We should ban human cloning	in favor of	WE SHOuld ban human cloning because it causes huge issues in terms of rights and ownership
A09060	We should abolish the Olympic Games	against	The Olympic Games allow for countries around the world to compete in friendly competition and is a healthy outlet for national pride.
A09061	We should adopt atheism	against	freedom to choose what someone believes in is a right
A09062	We should subsidize student loans	in favor of	college is getting more and more expensive each year so students should be getting as much help as they need
A09063	We should abandon the use of school uniform	against	researchers found that in schools across the world with uniform policies students are more disciplined and concentrated
A09064	We should abolish the three-strikes laws	in favor of	abolishing the three strikes law would save money
A09067	We should abolish capital punishment	in favor of	capital punishment should be removed from society as it is a backwards and medieval solution to crime that has no place in a modern society.
A09069	We should limit judicial activism	in favor of	judicial activism is biased and should be trashed.
A09070	We should fight for the abolition of nuclear weapons	against	they serve as a deterant for any rogue dictator to strike an enemy
A09071	We should limit executive compensation	in favor of	executive compensation should be limited in order to narrow the wage gap between c-level employees and line workers
A09072	We should subsidize journalism	against	state subsidy of journalism would threaten the independence and objectivity of any such reporting. what journalist is going to bite the hand that feeds them?
A09073	We should abolish zoos	against	Zoos are a great and cheap way for children to learn about animals from all over the world.
A09076	We should ban cosmetic surgery	against	Cosmetic surgery is important to repair damaged skin or member of people involved in an accident. This will help them regain confidence and live their life fully
